instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m250_k26_c25_s100_k25_g5,1278971.743192,167.170998,1668370.707788,794.265685,2933496.675012,432.212995
rasp_gaussian_m250_k26_c25_s100_k25_g6,1019472.361213,164.251176,1328540.159951,882.446744,2426944.650511,421.465723
rasp_gaussian_m250_k26_c25_s100_k25_g7,1038053.075482,164.863537,1372778.863107,770.065891,2519935.233873,430.140480
rasp_gaussian_m250_k26_c25_s100_k25_g8,1069733.342954,166.595974,1348039.545112,768.980288,2694850.094477,421.482876
rasp_gaussian_m250_k26_c25_s100_k25_g9,987102.952949,163.574498,1294685.125498,781.509090,2527634.759241,429.016169
rasp_gaussian_m250_k27_c25_s100_k26_g1,1035841.848458,178.214815,1339304.322876,848.312325,2887938.637247,495.039528
rasp_gaussian_m250_k27_c25_s100_k26_g10,1161226.562056,177.071623,1542924.179414,847.114489,3533708.020437,494.400116
rasp_gaussian_m250_k27_c25_s100_k26_g2,1124181.484804,175.134068,1478921.059557,835.129134,3284580.538788,489.299232
rasp_gaussian_m250_k27_c25_s100_k26_g3,1124825.286295,211.530109,1456264.988199,843.376535,3210270.192318,480.369868
rasp_gaussian_m250_k27_c25_s100_k26_g4,1246598.565756,179.145348,1560674.416165,868.494142,3454651.926957,499.475945
rasp_gaussian_m250_k27_c25_s100_k26_g5,1101046.819549,204.866839,1388835.299932,949.760858,3138157.776227,488.678087
rasp_gaussian_m250_k27_c25_s100_k26_g6,1100288.193795,173.614564,1393449.591699,856.885376,3218133.845482,483.095422
rasp_gaussian_m250_k27_c25_s100_k26_g7,1071317.736901,177.509905,1406109.373820,846.912937,3053580.959128,483.576648
rasp_gaussian_m250_k27_c25_s100_k26_g8,1049330.983994,175.775985,1335526.291431,846.198074,2987925.446937,498.572503
rasp_gaussian_m250_k27_c25_s100_k26_g9,1234384.263972,174.097275,1601272.897068,928.336096,3656348.055209,499.126743
rasp_gaussian_m250_k28_c25_s100_k27_g1,1177624.970132,192.922456,1417511.271326,961.344982,2775305.749885,549.349623
rasp_gaussian_m250_k28_c25_s100_k27_g10,1059804.121720,190.608272,1334467.729462,934.166008,2568197.457485,581.204273
rasp_gaussian_m250_k28_c25_s100_k27_g2,1188123.776881,193.567022,1571341.448676,1023.160185,3148078.833000,561.578706
rasp_gaussian_m250_k28_c25_s100_k27_g3,1124551.238801,227.628998,1477441.102212,943.457991,3008218.735885,546.568308
rasp_gaussian_m250_k28_c25_s100_k27_g4,1075721.190008,197.120108,1364525.641329,1024.503409,2791767.625570,545.112628
rasp_gaussian_m250_k28_c25_s100_k27_g5,1068269.326965,198.924872,1363882.413266,1018.499656,2678541.646538,573.330948
rasp_gaussian_m250_k28_c25_s100_k27_g6,1073092.600130,199.437897,1395055.236774,934.853213,2817457.706614,541.361908
rasp_gaussian_m250_k28_c25_s100_k27_g7,1078022.655222,203.220623,1361141.173243,927.191949,2507532.634716,564.344908
rasp_gaussian_m250_k28_c25_s100_k27_g8,1246040.712655,199.700794,1596446.258485,984.565726,3133057.408420,564.872492
rasp_gaussian_m250_k28_c25_s100_k27_g9,1006392.522095,202.529493,1346503.001972,913.465468,2580292.696070,577.339818
rasp_gaussian_m250_k29_c25_s100_k28_g1,1112263.210862,202.665576,1473932.269888,1013.165692,3287264.449018,614.468715
rasp_gaussian_m250_k29_c25_s100_k28_g10,1198166.035965,203.105775,1554410.370051,988.478756,3298943.849467,625.216590
rasp_gaussian_m250_k29_c25_s100_k28_g2,1110450.647002,205.589136,1444189.435941,1004.420861,3060654.048493,613.825978
rasp_gaussian_m250_k29_c25_s100_k28_g3,1151346.996889,216.704054,1494840.384186,991.270518,3231596.679672,621.079975
rasp_gaussian_m250_k29_c25_s100_k28_g4,1133603.104498,211.446951,1456754.219291,1086.680136,3268600.064508,627.376111
rasp_gaussian_m250_k29_c25_s100_k28_g5,1048663.814694,215.766662,1340429.820753,1132.013926,2904757.571016,625.832607
rasp_gaussian_m250_k29_c25_s100_k28_g6,1111086.385666,207.715778,1450426.319272,971.481849,3393160.077383,633.500627
rasp_gaussian_m250_k29_c25_s100_k28_g7,1266724.385239,199.539755,1587518.689675,1003.215749,3420562.373557,618.031070
rasp_gaussian_m250_k29_c25_s100_k28_g8,1164811.755003,207.367946,1483197.636079,1147.171362,3346233.129840,618.515901
rasp_gaussian_m250_k29_c25_s100_k28_g9,1130368.233864,216.202554,1452004.123936,1114.332222,3360147.875040,637.917360
rasp_gaussian_m250_k2_c25_s100_k1_g1,595579.317359,0.520846,745618.208562,2.153165,957570.841638,0.393513
rasp_gaussian_m250_k2_c25_s100_k1_g10,733237.454592,0.505118,864739.951941,2.112787,1174767.306387,0.384076
rasp_gaussian_m250_k2_c25_s100_k1_g2,654512.224698,0.486159,821622.809329,2.090507,1099080.196948,0.382551
rasp_gaussian_m250_k2_c25_s100_k1_g3,675180.743993,0.520343,838241.212767,2.189848,1054957.476908,0.389322
rasp_gaussian_m250_k2_c25_s100_k1_g4,643291.882609,0.494422,858252.327220,2.192298,1109987.197400,0.388997
rasp_gaussian_m250_k2_c25_s100_k1_g5,598564.260618,0.529181,698517.789458,2.152685,927547.602462,0.393314
rasp_gaussian_m250_k2_c25_s100_k1_g6,608105.967214,0.515805,774997.003546,2.119548,1003835.918001,0.368904
rasp_gaussian_m250_k2_c25_s100_k1_g7,672636.847607,0.476551,848262.254602,2.244689,1091789.927733,0.394481
rasp_gaussian_m250_k2_c25_s100_k1_g8,669372.312808,0.528570,791936.722570,2.278414,1075274.842961,0.388958
rasp_gaussian_m250_k2_c25_s100_k1_g9,613079.123860,0.576913,696355.530806,2.345489,905172.919182,0.461005
rasp_gaussian_m250_k30_c25_s100_k29_g1,1090687.088917,232.509758,1362080.114038,1088.598615,3002945.759609,731.530544
rasp_gaussian_m250_k30_c25_s100_k29_g10,1065291.500292,224.324687,1351448.796004,1046.089768,3225683.798114,719.305202
rasp_gaussian_m250_k30_c25_s100_k29_g2,1224214.401599,229.338642,1586018.229241,1073.480675,3516921.071127,720.423926
rasp_gaussian_m250_k30_c25_s100_k29_g3,1242254.574424,225.027720,1571526.881931,1034.590531,3629097.727247,737.081436
rasp_gaussian_m250_k30_c25_s100_k29_g4,1149168.078270,232.073247,1506001.343608,1184.943768,3316462.849084,712.870914
rasp_gaussian_m250_k30_c25_s100_k29_g5,1114563.202182,220.300043,1469918.449974,1064.101790,3132615.178607,745.355273
rasp_gaussian_m250_k30_c25_s100_k29_g6,1164391.633380,267.186330,1457711.873111,1116.869426,3279867.094010,711.148647
rasp_gaussian_m250_k30_c25_s100_k29_g7,1084775.770654,231.746601,1411570.925579,1089.345151,3048728.482670,717.939214
